50 ingredienti
Bacon 5 14 8
Aglio 6 11 13
Mais 7 15 8
Champignon 7 14 7
Feta 7 13 5
Misto_Funghi 7 9 15
Fiori_di_Zucca 7 9 5
Caciocavallo 8 16 9
Glassa_di_Aceto_Balsamico 8 11 13
Cavolo_Nero 8 11 7
Melanzane 8 10 13
Carciofini 9 15 13
Carciofi 9 13 7
Grana 9 12 9
Broccoli 9 11 13
Asparagi 9 11 12
Melanzane_sott'olio 9 10 11
Fiordilatte 9 9 6
Lupini 9 8 14
Banane 10 11 11
Funghi_Freschi 10 11 8
Crema_di_Zucca 10 10 14
Basilico 10 10 12
Mortadella 10 10 9
Grigliata 10 8 11
Cipolla 10 7 13
Friarielli 11 14 6
Brie 11 13 18
Gamberetti 11 10 13
Funghi 11 9 12
Curry 11 8 11
Emmenthal 11 8 11
Insalata 11 8 8
Frutti_di_Mare 12 11 12
Funghi_Champignon 12 11 12
Jalapenos 12 11 6
Fragola 12 10 9
Cipolla_Rossa 12 9 7
Acciughe 12 8 7
Fagioli 12 8 5
Capperi 12 6 11
Maionese 13 12 7
Mela 13 8 11
Crescenza 14 13 6
Ananas 14 12 6
Gorgonzola 14 8 13
Bresaola 14 8 5
Fontina 15 18 5
Mascarpone 15 7 16
Burrata 16 9 6
100 clienti
Meloni 0 1
Urbini 0 4
Pellegrini 1 0
Guzman 1 5
Ricci 1 7
Vitor 3 0
Salvini 3 1
Lacerenza 3 6
Caligiuri 4 0
DiLena 4 3
Nicastro 4 4
Sanna 4 7
Bertini 4 8
Marra 4 8
Domenicali 5 5
Messina 6 3
DiPaolo 6 9
Sanges 6 9
Rosata 6 10
Fico 7 4
Cozzolino 7 8
Fassbender 8 0
Arlati 8 1
Longo 8 1
Baroni 8 4
Giordano 8 5
Pelo 8 6
Zolnowski 8 6
Bardi 8 8
Minuz 8 8
Prelati 8 8
Borghini 9 1
DalLago 9 1
Pello 9 3
Policarpo 9 3
Simoni 9 3
Cerchierini 9 4
Mirante 9 7
Rossetti 9 8
Ruggeri 9 9
Ciarlariello 10 0
Sannio 10 0
Martys 10 4
Spalletta 10 6
Gamberini 11 0
D'Alessandro 11 1
Mahu 11 2
Renzulli 11 2
Fiordigigli 11 4
Moukrim 11 4
Trombino 11 4
Caligari 11 7
Martinotti 11 7
Attendoli 11 8
Borgat 11 8
Baldi 11 10
Gnani 11 10
Tarani 12 4
Guerra 12 5
Karim 12 5
Magalotti 12 5
Silvestri 12 5
Sbreni 12 6
Chesti 12 8
Sala 12 9
Salamone 12 9
Nuti 12 10
Valvano 12 10
Casadei 13 0
Guido 13 1
Marini 13 1
Potalivo 13 6
Mucci 13 7
Paduano 13 8
Bianchi 13 9
Satta 13 9
Cataldi 14 0
Torraca 14 0
Antosh 14 2
Ferrero 14 3
Parini 14 7
Siapian 14 8
Naci 14 10
Siracusa 15 2
DelAguila 15 5
Russotti 15 5
Stefanovich 15 8
Vidanalage 16 7
Mane 17 0
Marchesini 17 1
Niane 17 5
Moiano 17 6
Lelli 17 9
Zinnamosca 18 0
Pierucci 18 2
Ciarla 18 6
Salvemini 18 7
Riccati 19 8
Scardone 20 2
Oliva 20 4
esclusioni
1 per 5 clienti
1 per 6 clienti
5 per 7 clienti
4 per 8 clienti
8 per 9 clienti
7 per 10 clienti
7 per 11 clienti
8 per 12 clienti
2 per 13 clienti
4 per 14 clienti
2 per 15 clienti
1 per 16 clienti
3038 coppie incompatibili
Antosh Attendoli
Antosh Baldi
Antosh Bardi
Antosh Baroni
Antosh Bianchi
Antosh Borghini
Antosh Caligari
Antosh Caligiuri
Antosh Casadei
Antosh Cataldi
Antosh Cerchierini
Antosh Ciarla
Antosh Cozzolino
Antosh D'Alessandro
Antosh DalLago
Antosh DelAguila
Antosh DiPaolo
Antosh Domenicali
Antosh Fassbender
Antosh Ferrero
Antosh Fico
Antosh Fiordigigli
Antosh Gamberini
Antosh Giordano
Antosh Gnani
Antosh Guido
Antosh Guzman
Antosh Karim
Antosh Lelli
Antosh Magalotti
Antosh Mahu
Antosh Mane
Antosh Marchesini
Antosh Marini
Antosh Marra
Antosh Martinotti
Antosh Martys
Antosh Minuz
Antosh Moiano
Antosh Moukrim
Antosh Mucci
Antosh Naci
Antosh Niane
Antosh Nicastro
Antosh Nuti
Antosh Oliva
Antosh Paduano
Antosh Pello
Antosh Pelo
Antosh Pierucci
Antosh Potalivo
Antosh Prelati
Antosh Renzulli
Antosh Riccati
Antosh Rossetti
Antosh Ruggeri
Antosh Sala
Antosh Salamone
Antosh Salvemini
Antosh Sanges
Antosh Sannio
Antosh Satta
Antosh Sbreni
Antosh Scardone
Antosh Simoni
Antosh Siracusa
Antosh Spalletta
Antosh Tarani
Antosh Torraca
Antosh Trombino
Antosh Valvano
Antosh Vidanalage
Antosh Zinnamosca
Antosh Zolnowski
Arlati Attendoli
Arlati Baldi
Arlati Bardi
Arlati Bianchi
Arlati Borgat
Arlati Caligari
Arlati Casadei
Arlati Ciarla
Arlati DalLago
Arlati DiLena
Arlati DiPaolo
Arlati Fico
Arlati Fiordigigli
Arlati Gamberini
Arlati Karim
Arlati Lacerenza
Arlati Lelli
Arlati Longo
Arlati Mahu
Arlati Martinotti
Arlati Martys
Arlati Messina
Arlati Minuz
Arlati Moukrim
Arlati Mucci
Arlati Naci
Arlati Niane
Arlati Oliva
Arlati Paduano
Arlati Parini
Arlati Pello
Arlati Pelo
Arlati Pierucci
Arlati Potalivo
Arlati Prelati
Arlati Riccati
Arlati Rossetti
Arlati Russotti
Arlati Sala
Arlati Salvemini
Arlati Sannio
Arlati Sbreni
Arlati Scardone
Arlati Siapian
Arlati Silvestri
Arlati Simoni
Arlati Spalletta
Arlati Stefanovich
Arlati Tarani
Arlati Torraca
Arlati Trombino
Arlati Valvano
Arlati Vidanalage
Arlati Zinnamosca
Arlati Zolnowski
Attendoli Baldi
Attendoli Bertini
Attendoli Bianchi
Attendoli Borgat
Attendoli Caligari
Attendoli Cataldi
Attendoli Cerchierini
Attendoli Chesti
Attendoli Ciarla
Attendoli Ciarlariello
Attendoli D'Alessandro
Attendoli DalLago
Attendoli DelAguila
Attendoli Domenicali
Attendoli Ferrero
Attendoli Fico
Attendoli Fiordigigli
Attendoli Gamberini
Attendoli Gnani
Attendoli Guido
Attendoli Lelli
Attendoli Mane
Attendoli Marchesini
Attendoli Marini
Attendoli Martinotti
Attendoli Martys
Attendoli Minuz
Attendoli Mirante
Attendoli Moiano
Attendoli Mucci
Attendoli Naci
Attendoli Niane
Attendoli Nuti
Attendoli Oliva
Attendoli Paduano
Attendoli Parini
Attendoli Pelo
Attendoli Pierucci
Attendoli Policarpo
Attendoli Prelati
Attendoli Renzulli
Attendoli Riccati
Attendoli Rossetti
Attendoli Ruggeri
Attendoli Russotti
